source	target	depth
medical care	healthcare system	1
medical care	health professionals	1
medical care	health equity	1
medical care	health policy	1
medical care	tobacco politics	1
medical care	universal health care	1
vaccines	biologics control act	1
vaccines	coalition for epidemic preparedness innovations	1
vaccines	flying syringe	1
vaccines	immunization registry	1
vaccines	immunotherapy	1
vaccines	non-specific effect of vaccines	1
vaccines	opv aids hypothesis	1
vaccines	preventive healthcare	1
vaccines	reverse vaccinology	1
vaccines	ta-cd	1
vaccines	timeline of vaccines	1
vaccines	virosome	1
vaccines	vaccine adverse event	1
vaccines	vaccine cooler	1
vaccines	vaccine failure	1
vaccines	vaccine hesitancy	1
vaccines	vaccinov	1
vaccines	viral vector	1
vaccines	virus-like particle	1
covid19	coronavirus diseases	1
covid19	disease x	1
disease x	coalition for epidemic preparedness innovations	2
disease x	global research collaboration for infectious disease preparedness	2
disease x	synthetic virology	2
disease x	bioterrorism	2
disease x	planets beyond neptune	2
coronavirus diseases	coronaviridae	2
coronavirus diseases	alphacoronavirus	2
coronavirus diseases	betacoronavirus	2
coronavirus diseases	gammacoronavirus	2
coronavirus diseases	deltacoronavirus	2
viral vector	viral transformation	2
vaccinov	population history of indigenous peoples of the americas	2
deltacoronavirus	rna virus	3
deltacoronavirus	sense (molecular biology)	3
deltacoronavirus	veterinary virology	3
gammacoronavirus	animal virology	3
gammacoronavirus	sense (molecular biology)	3
gammacoronavirus	rna virus	3
betacoronavirus	animal virology	3
alphacoronavirus	betacoronavirus	3
alphacoronavirus	coronavirus	3
alphacoronavirus	rna virus	3
viral transformation	transduction (genetics)	3
viral transformation	transfection	3
viral transformation	transgenesis	3
population history of indigenous peoples of the americas	amazonas before the inca empire	3
population history of indigenous peoples of the americas	classification of indigenous peoples of the americas	3
population history of indigenous peoples of the americas	conquest of the desert	3
population history of indigenous peoples of the americas	demographic history of the united states	3
population history of indigenous peoples of the americas	first nations	3
population history of indigenous peoples of the americas	genocide of indigenous peoples	3
population history of indigenous peoples of the americas	genocides in history	3
population history of indigenous peoples of the americas	guatemalan genocide	3
population history of indigenous peoples of the americas	handbook of south american indians	3
population history of indigenous peoples of the americas	population of canada	3
population history of indigenous peoples of the americas	population of native california	3
population history of indigenous peoples of the americas	selknam genocide	3
population history of indigenous peoples of the americas	smallpox	3
population history of indigenous peoples of the americas	trail of tears	3
population history of indigenous peoples of the americas	uncontacted peoples	3
planets beyond neptune	fictional planets of the solar system	3
planets beyond neptune	large synoptic survey telescope	3
planets beyond neptune	pan-starrs	3
planets beyond neptune	wide-field infrared survey explorer	3
bioterrorism	biodefence	3
bioterrorism	biological weapons convention	3
bioterrorism	biorisk	3
bioterrorism	biosecurity	3
bioterrorism	project bacchus	3
bioterrorism	select agent	3
bioterrorism	national bio and agro-defense facility	3
synthetic virology	bioterrorism	3
synthetic virology	disease x	3
coalition for epidemic preparedness innovations	centers for disease control and prevention	3
coalition for epidemic preparedness innovations	european centre for disease prevention and control	3
coalition for epidemic preparedness innovations	covid-19 vaccine	3
vaccine failure	vaccination policy	2
vaccine failure	antitoxin	2
vaccine failure	dna vaccination	2
vaccine failure	feline vaccination	2
vaccine failure	h5n1 clinical trials	2
vaccine failure	immunization during pregnancy	2
vaccine failure	misinformation related to vaccination	2
vaccine failure	vaccination-autism controversy	2
vaccine failure	vaccination and religion	2
vaccine failure	vaccination of dogs	2
vaccine failure	vaccine trial	2
vaccine failure	world immunization week	2
vaccine failure	coronavirus disease 2019	2
vaccine hesitancy	chemophobia	2
vaccine hesitancy	measles resurgence in the united states	2
vaccine hesitancy	misinformation related to vaccination	2
vaccine hesitancy	therapeutic nihilism	2
vaccine hesitancy	vaccine shedding	2
timeline of vaccines	timeline of global health	2
timeline of vaccines	history of smallpox	2
vaccine adverse event	vaccine hesitancy	2
chemophobia	appeal to nature	3
chemophobia	chemical free	3
chemophobia	hazardous chemicals	3
chemophobia	persistent organic pollutants	3
chemophobia	organic food	3
chemophobia	natural food	3
chemophobia	dihydrogen monoxide parody	3
chemophobia	genetically modified food controversies	3
chemophobia	multiple chemical sensitivity	3
chemophobia	phobia	3
chemophobia	vaccine controversies	3
chemophobia	let them eat precaution	3
measles resurgence in the united states	2019 samoa measles outbreak	3
measles resurgence in the united states	2019 philippines measles outbreak	3
timeline of global health	timeline of vaccines	3
timeline of global health	timeline of malaria	3
timeline of global health	timeline of hiv/aids	3
timeline of global health	timeline of cholera	3
timeline of global health	timeline of influenza	3
timeline of global health	timeline of alzheimer's disease	3
timeline of global health	timeline of stroke	3
timeline of global health	timeline of cardiovascular disease	3
timeline of global health	timeline of deworming	3
timeline of global health	timeline of the 2019-20 coronavirus pandemic	3
timeline of global health	timeline of healthcare in india	3
timeline of global health	timeline of healthcare in china	3
timeline of global health	timeline of healthcare in japan	3
timeline of global health	timeline of healthcare in cuba	3
timeline of global health	timeline of healthcare in germany	3
timeline of global health	timeline of healthcare in egypt	3
timeline of global health	timeline of healthcare in nigeria	3
timeline of global health	timeline of healthcare in kenya	3
timeline of global health	priority-setting in global health	3
timeline of global health	timeline of psychiatry	3
coronavirus disease 2019	coronavirus diseases	3
coronavirus disease 2019	disease x	3
world immunization week	health promotion	3
world immunization week	world health day	3
world immunization week	european immunization week	3
world immunization week	vaccination week in the americas	3
world immunization week	every child by two	3
world immunization week	universal immunization programme	3
vaccination of dogs	atcvet code qi07	3
vaccination of dogs	atcvet code	3
vaccination of dogs	da2ppc vaccine	3
vaccination of dogs	feline vaccination	3
dna vaccination	vector dna	3
dna vaccination	hiv vaccine	3
dna vaccination	gene therapy	3
dna vaccination	rna vaccine	3
antitoxin	toxin-antitoxin system	3
antitoxin	vaccination	3
antitoxin	jim (horse)	3
antitoxin	antiserum	3
antitoxin	invention	3
ta-cd	ta-nic	2
vaccination policy	world immunization week	3
vaccination policy	vaccination requirements for international travel	3
opv aids hypothesis	aids origins opposed to scientific consensus	2
opv aids hypothesis	aids origin	2
opv aids hypothesis	sv40	2
opv aids hypothesis	zoonosis	2
preventive healthcare	american board of preventive medicine	2
preventive healthcare	american journal of preventive medicine	2
preventive healthcare	american osteopathic board of preventive medicine	2
preventive healthcare	chemoprevention	2
preventive healthcare	human genetic enhancement	2
preventive healthcare	epigenetics	2
preventive healthcare	mental disorder	2
preventive healthcare	public health	2
preventive healthcare	pre-exposure prophylaxis	2
preventive healthcare	preventive medicine (journal)	2
preventive healthcare	primary health care	2
preventive healthcare	treatment as prevention	2
