source	target	depth
social network analysis	actor-network theory	1
social network analysis	community structure	1
social network analysis	complex network	1
social network analysis	digital humanities	1
social network analysis	dynamic network analysis	1
social network analysis	friendship paradox	1
social network analysis	individual mobility	1
social network analysis	mathematical sociology	1
social network analysis	metcalfe's law	1
social network analysis	network-based diffusion analysis	1
social network analysis	network science	1
social network analysis	organizational patterns	1
social network analysis	small world phenomenon	1
social network analysis	social media analytics	1
social network analysis	social media mining	1
social network analysis	social network	1
social network analysis	social network analysis software	1
social network analysis	social networking service	1
social network analysis	social software	1
social network analysis	social web	1
social network analysis	sociomapping	1
social network analysis	attention inequality	1
social network	bibliography of sociology	1
social network	business networking	1
social network	collective network	1
social network	international network for social network analysis	1
social network	network society	1
social network	network theory	1
social network	network science	1
social network	semiotics of social networking	1
social network	scientific collaboration network	1
social network	social network analysis	1
social network	social network (sociolinguistics)	1
social network	social networking service	1
social network	social web	1
social network	structural fold	1
artificial intelligence	a.i. rising	1
artificial intelligence	ai control problem	1
artificial intelligence	artificial intelligence arms race	1
artificial intelligence	artificial general intelligence	1
artificial intelligence	behavior selection algorithm	1
artificial intelligence	business process automation	1
artificial intelligence	case-based reasoning	1
artificial intelligence	citizen science	1
artificial intelligence	emergent algorithm	1
artificial intelligence	female gendering of ai technologies	1
artificial intelligence	glossary of artificial intelligence	1
artificial intelligence	regulation of artificial intelligence	1
artificial intelligence	robotic process automation	1
artificial intelligence	synthetic intelligence	1
artificial intelligence	universal basic income	1
artificial intelligence	weak ai	1
regulation of artificial intelligence	artificial intelligence	2
regulation of artificial intelligence	artificial intelligence arms race	2
regulation of artificial intelligence	ai control problem	2
regulation of artificial intelligence	artificial intelligence in government	2
regulation of artificial intelligence	ethics of artificial intelligence	2
regulation of artificial intelligence	government by algorithm	2
regulation of artificial intelligence	regulation of algorithms	2
synthetic intelligence	ai-complete	2
synthetic intelligence	simulated reality	2
synthetic intelligence	synthetic biology	2
synthetic intelligence	soft computing	2
universal basic income	wp:seealso	2
universal basic income	citizen's dividend	2
universal basic income	economic, social and cultural rights	2
universal basic income	equality of outcome	2
universal basic income	fairtax	2
universal basic income	geolibertarianism	2
universal basic income	global basic income	2
universal basic income	guaranteed minimum income	2
universal basic income	happiness economics	2
universal basic income	humanistic economics	2
universal basic income	involuntary unemployment	2
universal basic income	job guarantee	2
universal basic income	left-libertarianism	2
universal basic income	limitarianism (ethical)	2
universal basic income	living wage	2
universal basic income	moral universalism	2
universal basic income	new cuban economy	2
universal basic income	old age security	2
universal basic income	post-work society	2
universal basic income	quatinga velho	2
universal basic income	rationing	2
universal basic income	redistribution of income and wealth	2
universal basic income	social safety net	2
universal basic income	speenhamland system	2
universal basic income	the triple revolution	2
universal basic income	universal basic income in canada	2
universal basic income	universal basic services	2
universal basic income	universal credit	2
universal basic income	universal value	2
universal basic income	universalism	2
universal basic income	wage subsidy	2
universal basic income	welfare capitalism	2
universal basic income	working time	2
weak ai	deep learning	2
weak ai	expert system	2
weak ai	history of artificial intelligence	2
weak ai	intelligent personal assistant	2
weak ai	machine learning	2
weak ai	philosophy of artificial intelligence	2
weak ai	strong artificial intelligence	2
robotic process automation	automation	2
robotic process automation	business process automation	2
emergent algorithm	emergence	2
emergent algorithm	evolutionary computation	2
emergent algorithm	fuzzy logic	2
emergent algorithm	genetic algorithm	2
emergent algorithm	heuristic	2
female gendering of ai technologies	artificial intelligence (ai)	2
